DTXSID,tox_value_mg_L,tox_S_AD,tox_stat,tox_source,species,tox_reliability,neutral_fraction_jchem,tox_source_origin
DTXSID0020280,4.52,3,quantile,ecotox,crustacean,NA,1,ecotox
DTXSID0020280,7.343,3,qsar,IRFMN,crustacean,NA,1,IRFMN
DTXSID0020280,33.89,3,qsar,ECOSAR_BASELINE,crustacean,NA,1,ECOSAR_BASELINE
DTXSID0020280,5.437e-5,3,qsar,BOL,crustacean,NA,1,BOL
DTXSID0020280,34.6,3,geomean,ecotox,fish,NA,1,ecotox
DTXSID0020280,34.6,3,quantile,ecotox,fish,NA,1,ecotox
DTXSID0020280,11.99,3,qsar,IRFMN,fish,NA,1,IRFMN
DTXSID0020280,57.57,3,qsar,ECOSAR_BASELINE,fish,NA,1,ECOSAR_BASELINE
DTXSID0020280,5.68e-5,3,qsar,BOL,fish,NA,1,BOL
DTXSID0020286,7.709,3,qsar,IRFMN,algae,NA,1,IRFMN
DTXSID0020286,32.38,3,qsar,ECOSAR_BASELINE,algae,NA,1,ECOSAR_BASELINE
DTXSID0020286,0.04564,3,qsar,VAN_LEEUWEN,algae,NA,1,VAN_LEEUWEN
DTXSID0020286,0.713,3,geomean,ecotox,crustacean,NA,1,ecotox
DTXSID0020286,0.63,3,quantile,ecotox,crustacean,NA,1,ecotox
DTXSID0020286,2.814,3,qsar,IRFMN,crustacean,NA,1,IRFMN
DTXSID0020286,39.36,3,qsar,ECOSAR_BASELINE,crustacean,NA,1,ECOSAR_BASELINE
DTXSID0020286,6.491e-5,3,qsar,BOL,crustacean,NA,1,BOL
DTXSID0020286,12.13,3,qsar,IRFMN,fish,NA,1,IRFMN
DTXSID0020286,67.67,3,qsar,ECOSAR_BASELINE,fish,NA,1,ECOSAR_BASELINE
DTXSID0020286,6.582e-5,3,qsar,BOL,fish,NA,1,BOL
DTXSID0020311,0.04312,3,geomean,ecotox,algae,NA,1,ecotox
DTXSID0020311,0.01,3,quantile,ecotox,algae,NA,1,ecotox
DTXSID0020311,0.7575,3,qsar,IRFMN,algae,NA,1,IRFMN
DTXSID0020311,78.17,3,qsar,ECOSAR_BASELINE,algae,NA,1,ECOSAR_BASELINE
DTXSID0020311,0.1402,3,qsar,VAN_LEEUWEN,algae,NA,1,VAN_LEEUWEN
DTXSID0020311,106,3,geomean,ecotox,crustacean,NA,1,ecotox
DTXSID0020311,106,3,quantile,ecotox,crustacean,NA,1,ecotox
DTXSID0020311,8.256,3,qsar,IRFMN,crustacean,NA,1,IRFMN
DTXSID0020311,108.2,3,qsar,ECOSAR_BASELINE,crustacean,NA,1,ECOSAR_BASELINE
DTXSID0020311,1.918e-4,3,qsar,BOL,crustacean,NA,1,BOL
DTXSID0020311,81.27,3,geomean,ecotox,fish,NA,1,ecotox
DTXSID0020311,31.6,3,quantile,ecotox,fish,NA,1,ecotox
DTXSID0020311,11.25,3,qsar,IRFMN,fish,NA,1,IRFMN
DTXSID0020311,192,3,qsar,ECOSAR_BASELINE,fish,NA,1,ECOSAR_BASELINE
DTXSID0020311,1.798e-4,3,qsar,BOL,fish,NA,1,BOL
DTXSID0020315,13.43,3,qsar,IRFMN,algae,NA,1,IRFMN
DTXSID0020315,67.45,3,qsar,ECOSAR_BASELINE,algae,NA,1,ECOSAR_BASELINE
DTXSID0020315,0.1236,3,qsar,VAN_LEEUWEN,algae,NA,1,VAN_LEEUWEN
DTXSID0020315,0.08937,3,geomean,ecotox,crustacean,NA,1,ecotox
DTXSID0020315,0.03,3,quantile,ecotox,crustacean,NA,1,ecotox
DTXSID0020315,0.2249,3,qsar,IRFMN,crustacean,NA,1,IRFMN
DTXSID0020315,94.43,3,qsar,ECOSAR_BASELINE,crustacean,NA,1,ECOSAR_BASELINE
DTXSID0020315,1.684e-4,3,qsar,BOL,crustacean,NA,1,BOL
DTXSID0020315,0.0298,3,geomean,ecotox,fish,NA,1,ecotox
DTXSID0020315,0.00798,3,quantile,ecotox,fish,NA,1,ecotox
DTXSID0020315,5.409,3,qsar,IRFMN,fish,NA,1,IRFMN
DTXSID0020315,168,3,qsar,ECOSAR_BASELINE,fish,NA,1,ECOSAR_BASELINE
DTXSID0020315,1.568e-4,3,qsar,BOL,fish,NA,1,BOL
DTXSID0020319,0.01965,3,geomean,ecotox,algae,NA,1,ecotox
DTXSID0020319,8.93e-4,3,quantile,ecotox,algae,NA,1,ecotox
DTXSID0020319,0.6839,0,qsar,IRFMN,algae,NA,1,IRFMN
DTXSID0020319,12.71,0,qsar,ECOSAR_BASELINE,algae,NA,1,ECOSAR_BASELINE
DTXSID0020319,0.008941,3,qsar,VAN_LEEUWEN,algae,NA,1,VAN_LEEUWEN
DTXSID0020319,0.1027,3,geomean,ecotox,crustacean,NA,1,ecotox
DTXSID0020319,0.028,3,quantile,ecotox,crustacean,NA,1,ecotox
DTXSID0020319,0.2195,3,qsar,IRFMN,crustacean,NA,1,IRFMN
DTXSID0020319,10.62,0,qsar,ECOSAR_BASELINE,crustacean,NA,1,ECOSAR_BASELINE
DTXSID0020319,1.424e-5,3,qsar,BOL,crustacean,NA,1,BOL
DTXSID0020319,0.04897,3,geomean,ecotox,fish,NA,1,ecotox
DTXSID0020319,0.01143,3,quantile,ecotox,fish,NA,1,ecotox
DTXSID0020319,0.4164,3,qsar,IRFMN,fish,NA,1,IRFMN
DTXSID0020319,16.69,0,qsar,ECOSAR_BASELINE,fish,NA,1,ECOSAR_BASELINE
DTXSID0020319,1.809e-5,3,qsar,BOL,fish,NA,1,BOL
DTXSID0020440,100,3,geomean,ecotox,algae,NA,0.001,ecotox
DTXSID0020440,100,3,quantile,ecotox,algae,NA,0.001,ecotox
DTXSID0020440,1.067,3,qsar,IRFMN,algae,NA,0.001,IRFMN
DTXSID0020440,10.4,3,qsar,ECOSAR_BASELINE,algae,NA,0.001,ECOSAR_BASELINE
DTXSID0020440,0.007066,3,qsar,VAN_LEEUWEN,algae,NA,0.001,VAN_LEEUWEN
DTXSID0020440,5.809,3,geomean,ecotox,crustacean,NA,0.001,ecotox
DTXSID0020440,5.442,3,quantile,ecotox,crustacean,NA,0.001,ecotox
DTXSID0020440,4.066,3,qsar,IRFMN,crustacean,NA,0.001,IRFMN
DTXSID0020440,8.534,3,qsar,ECOSAR_BASELINE,crustacean,NA,0.001,ECOSAR_BASELINE
DTXSID0020440,1.132e-5,3,qsar,BOL,crustacean,NA,0.001,BOL
DTXSID0020440,8.215,3,geomean,ecotox,fish,NA,0.001,ecotox
DTXSID0020440,0.6485,3,quantile,ecotox,fish,NA,0.001,ecotox
DTXSID0020440,2.093,3,qsar,IRFMN,fish,NA,0.001,IRFMN
DTXSID0020440,13.34,3,qsar,ECOSAR_BASELINE,fish,NA,0.001,ECOSAR_BASELINE
DTXSID0020440,1.454e-5,3,qsar,BOL,fish,NA,0.001,BOL
DTXSID0020442,1.907,3,geomean,ecotox,algae,NA,0.001,ecotox
DTXSID0020442,0.01075,3,quantile,ecotox,algae,NA,0.001,ecotox
DTXSID0020442,3.715,3,qsar,IRFMN,algae,NA,0.001,IRFMN
DTXSID0020442,20.36,3,qsar,ECOSAR_BASELINE,algae,NA,0.001,ECOSAR_BASELINE
DTXSID0020442,0.01916,3,qsar,VAN_LEEUWEN,algae,NA,0.001,VAN_LEEUWEN
DTXSID0020442,116.5,3,geomean,ecotox,crustacean,NA,0.001,ecotox
DTXSID0020442,10,3,quantile,ecotox,crustacean,NA,0.001,ecotox
DTXSID0020442,7.284,3,qsar,IRFMN,crustacean,NA,0.001,IRFMN
DTXSID0020442,19.91,3,qsar,ECOSAR_BASELINE,crustacean,NA,0.001,ECOSAR_BASELINE
DTXSID0020442,2.91e-5,3,qsar,BOL,crustacean,NA,0.001,BOL
DTXSID0020442,64.65,3,geomean,ecotox,fish,NA,0.001,ecotox
DTXSID0020442,3.2,3,quantile,ecotox,fish,NA,0.001,ecotox
DTXSID0020442,2.606,3,qsar,IRFMN,fish,NA,0.001,IRFMN
DTXSID0020442,32.47,3,qsar,ECOSAR_BASELINE,fish,NA,0.001,ECOSAR_BASELINE
DTXSID0020442,3.364e-5,3,qsar,BOL,fish,NA,0.001,BOL
DTXSID0020446,0.0352,3,geomean,ecotox,algae,NA,1,ecotox
DTXSID0020446,8.88e-4,3,quantile,ecotox,algae,NA,1,ecotox
DTXSID0020446,0.9006,3,qsar,IRFMN,algae,NA,1,IRFMN
DTXSID0020446,46.15,2,qsar,ECOSAR_BASELINE,algae,NA,1,ECOSAR_BASELINE
DTXSID0020446,0.06103,3,qsar,VAN_LEEUWEN,algae,NA,1,VAN_LEEUWEN
DTXSID0020446,2.778,3,geomean,ecotox,crustacean,NA,1,ecotox
DTXSID0020446,0.259,3,quantile,ecotox,crustacean,NA,1,ecotox
DTXSID0020446,6.39,3,qsar,IRFMN,crustacean,NA,1,IRFMN
DTXSID0020446,54.2,2,qsar,ECOSAR_BASELINE,crustacean,NA,1,ECOSAR_BASELINE
DTXSID0020446,8.77e-5,3,qsar,BOL,crustacean,NA,1,BOL
DTXSID0020446,7.463,3,geomean,ecotox,fish,NA,1,ecotox
DTXSID0020446,2.105,3,quantile,ecotox,fish,NA,1,ecotox
DTXSID0020446,2.182,3,qsar,IRFMN,fish,NA,1,IRFMN
DTXSID0020446,92.42,2,qsar,ECOSAR_BASELINE,fish,NA,1,ECOSAR_BASELINE
DTXSID0020446,9.079e-5,3,qsar,BOL,fish,NA,1,BOL
DTXSID0020448,154.6,3,geomean,ecotox,algae,NA,1,ecotox
DTXSID0020448,52.14,3,quantile,ecotox,algae,NA,1,ecotox
DTXSID0020448,67.32,3,qsar,IRFMN,algae,NA,1,IRFMN
DTXSID0020448,38.91,3,qsar,ECOSAR_BASELINE,algae,NA,1,ECOSAR_BASELINE
DTXSID0020448,0.06594,3,qsar,VAN_LEEUWEN,algae,NA,1,VAN_LEEUWEN
DTXSID0020448,44.6,3,geomean,ecotox,crustacean,NA,1,ecotox
DTXSID0020448,18.05,3,quantile,ecotox,crustacean,NA,1,ecotox
DTXSID0020448,7.928,3,qsar,IRFMN,crustacean,NA,1,IRFMN
DTXSID0020448,52.23,3,qsar,ECOSAR_BASELINE,crustacean,NA,1,ECOSAR_BASELINE
DTXSID0020448,9.102e-5,3,qsar,BOL,crustacean,NA,1,BOL
DTXSID0020448,148.1,3,geomean,ecotox,fish,NA,1,ecotox
DTXSID0020448,89.69,3,quantile,ecotox,fish,NA,1,ecotox
DTXSID0020448,6.625,3,qsar,IRFMN,fish,NA,1,IRFMN
DTXSID0020448,91.99,3,qsar,ECOSAR_BASELINE,fish,NA,1,ECOSAR_BASELINE
DTXSID0020448,8.693e-5,3,qsar,BOL,fish,NA,1,BOL
DTXSID0020498,4.048,3,qsar,IRFMN,algae,NA,1,IRFMN
DTXSID0020498,61.28,2,qsar,ECOSAR_BASELINE,algae,NA,1,ECOSAR_BASELINE
DTXSID0020498,0.09952,3,qsar,VAN_LEEUWEN,algae,NA,1,VAN_LEEUWEN
DTXSID0020498,36.14,2,qsar,IRFMN,crustacean,NA,1,IRFMN
DTXSID0020498,80.4,2,qsar,ECOSAR_BASELINE,crustacean,NA,1,ECOSAR_BASELINE
DTXSID0020498,1.383e-4,3,qsar,BOL,crustacean,NA,1,BOL
DTXSID0020498,9.334,3,qsar,IRFMN,fish,NA,1,IRFMN
DTXSID0020498,140.8,2,qsar,ECOSAR_BASELINE,fish,NA,1,ECOSAR_BASELINE
DTXSID0020498,1.339e-4,3,qsar,BOL,fish,NA,1,BOL
DTXSID0020523,18.37,3,geomean,ecotox,algae,NA,0.01,ecotox
DTXSID0020523,1.192,3,quantile,ecotox,algae,NA,0.01,ecotox
DTXSID0020523,9.576,3,qsar,IRFMN,algae,NA,0.01,IRFMN
DTXSID0020523,86.55,3,qsar,ECOSAR_BASELINE,algae,NA,0.01,ECOSAR_BASELINE
DTXSID0020523,0.1678,3,qsar,VAN_LEEUWEN,algae,NA,0.01,VAN_LEEUWEN
DTXSID0020523,6.586,3,geomean,ecotox,crustacean,NA,0.01,ecotox
DTXSID0020523,2.336,3,quantile,ecotox,crustacean,NA,0.01,ecotox
DTXSID0020523,5.687,3,qsar,IRFMN,crustacean,NA,0.01,IRFMN
DTXSID0020523,124.9,3,qsar,ECOSAR_BASELINE,crustacean,NA,0.01,ECOSAR_BASELINE
DTXSID0020523,2.266e-4,3,qsar,BOL,crustacean,NA,0.01,BOL
DTXSID0020523,12.2,3,geomean,ecotox,fish,NA,0.01,ecotox
DTXSID0020523,0.672,3,quantile,ecotox,fish,NA,0.01,ecotox
DTXSID0020523,6.2,3,qsar,IRFMN,fish,NA,0.01,IRFMN
DTXSID0020523,223.9,3,qsar,ECOSAR_BASELINE,fish,NA,0.01,ECOSAR_BASELINE
DTXSID0020523,2.072e-4,3,qsar,BOL,fish,NA,0.01,BOL
DTXSID0020529,1.21,3,geomean,ecotox,algae,NA,1,ecotox
DTXSID0020529,0.122,3,quantile,ecotox,algae,NA,1,ecotox
DTXSID0020529,3.418,3,qsar,IRFMN,algae,NA,1,IRFMN
DTXSID0020529,55.68,3,qsar,ECOSAR_BASELINE,algae,NA,1,ECOSAR_BASELINE
DTXSID0020529,0.08916,3,qsar,VAN_LEEUWEN,algae,NA,1,VAN_LEEUWEN
DTXSID0020529,12.84,3,geomean,ecotox,crustacean,NA,1,ecotox
DTXSID0020529,3.545,3,quantile,ecotox,crustacean,NA,1,ecotox
DTXSID0020529,4.468,3,qsar,IRFMN,crustacean,NA,1,IRFMN
DTXSID0020529,72.5,3,qsar,ECOSAR_BASELINE,crustacean,NA,1,ECOSAR_BASELINE
DTXSID0020529,1.242e-4,3,qsar,BOL,crustacean,NA,1,BOL
DTXSID0020529,17.05,3,geomean,ecotox,fish,NA,1,ecotox
DTXSID0020529,6.36,3,quantile,ecotox,fish,NA,1,ecotox
DTXSID0020529,11.22,3,qsar,IRFMN,fish,NA,1,IRFMN
DTXSID0020529,126.7,3,qsar,ECOSAR_BASELINE,fish,NA,1,ECOSAR_BASELINE
DTXSID0020529,1.208e-4,3,qsar,BOL,fish,NA,1,BOL
DTXSID0020573,9.6,2,geomean,ecotox,algae,NA,1,ecotox
DTXSID0020573,9.6,2,quantile,ecotox,algae,NA,1,ecotox
DTXSID0020573,0.7162,3,qsar,IRFMN,algae,NA,1,IRFMN
DTXSID0020573,4.226,2,qsar,ECOSAR_BASELINE,algae,NA,1,ECOSAR_BASELINE
DTXSID0020573,0.001798,3,qsar,VAN_LEEUWEN,algae,NA,1,VAN_LEEUWEN
DTXSID0020573,1.583,3,geomean,ecotox,crustacean,NA,1,ecotox
DTXSID0020573,0.383,3,quantile,ecotox,crustacean,NA,1,ecotox
DTXSID0020573,6.681,2,qsar,IRFMN,crustacean,NA,1,IRFMN
DTXSID0020573,2.695,3,qsar,ECOSAR_BASELINE,crustacean,NA,1,ECOSAR_BASELINE
DTXSID0020573,3.107e-6,3,qsar,BOL,crustacean,NA,1,BOL
DTXSID0020573,0.1269,3,geomean,ecotox,fish,NA,1,ecotox
DTXSID0020573,0.03,3,quantile,ecotox,fish,NA,1,ecotox
DTXSID0020573,3.441,3,qsar,IRFMN,fish,NA,1,IRFMN
DTXSID0020573,3.964,2,qsar,ECOSAR_BASELINE,fish,NA,1,ECOSAR_BASELINE
DTXSID0020573,4.649e-6,3,qsar,BOL,fish,NA,1,BOL
DTXSID0020652,34.02,3,geomean,ecotox,algae,NA,0.001,ecotox
DTXSID0020652,9.379,3,quantile,ecotox,algae,NA,0.001,ecotox
DTXSID0020652,1.158,3,qsar,IRFMN,algae,NA,0.001,IRFMN
DTXSID0020652,4.207,3,qsar,ECOSAR_BASELINE,algae,NA,0.001,ECOSAR_BASELINE
DTXSID0020652,0.001854,3,qsar,VAN_LEEUWEN,algae,NA,0.001,VAN_LEEUWEN
DTXSID0020652,53.46,3,geomean,ecotox,crustacean,NA,0.001,ecotox
DTXSID0020652,14.76,3,quantile,ecotox,crustacean,NA,0.001,ecotox
DTXSID0020652,1.143,3,qsar,IRFMN,crustacean,NA,0.001,IRFMN
DTXSID0020652,2.734,3,qsar,ECOSAR_BASELINE,crustacean,NA,0.001,ECOSAR_BASELINE
DTXSID0020652,3.186e-6,3,qsar,BOL,crustacean,NA,0.001,BOL
DTXSID0020652,1.921,3,qsar,IRFMN,fish,NA,0.001,IRFMN
DTXSID0020652,4.04,3,qsar,ECOSAR_BASELINE,fish,NA,0.001,ECOSAR_BASELINE
DTXSID0020652,4.712e-6,3,qsar,BOL,fish,NA,0.001,BOL
DTXSID0020656,104.1,3,geomean,ecotox,algae,NA,0.001,ecotox
DTXSID0020656,104.1,3,quantile,ecotox,algae,NA,0.001,ecotox
DTXSID0020656,18.01,3,qsar,IRFMN,algae,NA,0.001,IRFMN
DTXSID0020656,2052,3,qsar,ECOSAR_BASELINE,algae,NA,0.001,ECOSAR_BASELINE
DTXSID0020656,12.28,3,qsar,VAN_LEEUWEN,algae,NA,0.001,VAN_LEEUWEN
DTXSID0020656,27.94,3,geomean,ecotox,crustacean,NA,0.001,ecotox
DTXSID0020656,10.68,3,quantile,ecotox,crustacean,NA,0.001,ecotox
DTXSID0020656,60.15,3,qsar,IRFMN,crustacean,NA,0.001,IRFMN
DTXSID0020656,5436,2,qsar,ECOSAR_BASELINE,crustacean,NA,0.001,ECOSAR_BASELINE
DTXSID0020656,0.01381,3,qsar,BOL,crustacean,NA,0.001,BOL
DTXSID0020656,150,3,geomean,ecotox,fish,NA,0.001,ecotox
DTXSID0020656,150,3,quantile,ecotox,fish,NA,0.001,ecotox
DTXSID0020656,5.737,3,qsar,IRFMN,fish,NA,0.001,IRFMN
DTXSID0020656,11280,2,qsar,ECOSAR_BASELINE,fish,NA,0.001,ECOSAR_BASELINE
DTXSID0020656,0.008755,3,qsar,BOL,fish,NA,0.001,BOL
DTXSID0020737,10,3,geomean,ecotox,algae,NA,1,ecotox
DTXSID0020737,10,3,quantile,ecotox,algae,NA,1,ecotox
DTXSID0020737,30.29,3,qsar,IRFMN,algae,NA,1,IRFMN
DTXSID0020737,29.1,3,qsar,ECOSAR_BASELINE,algae,NA,1,ECOSAR_BASELINE
DTXSID0020737,0.0425,3,qsar,VAN_LEEUWEN,algae,NA,1,VAN_LEEUWEN
DTXSID0020737,1,3,geomean,ecotox,crustacean,NA,1,ecotox
DTXSID0020737,1,3,quantile,ecotox,crustacean,NA,1,ecotox
DTXSID0020737,9.736,3,qsar,IRFMN,crustacean,NA,1,IRFMN
DTXSID0020737,36.06,3,qsar,ECOSAR_BASELINE,crustacean,NA,1,ECOSAR_BASELINE
DTXSID0020737,6.01e-5,3,qsar,BOL,crustacean,NA,1,BOL
DTXSID0020737,25.29,3,qsar,IRFMN,fish,NA,1,IRFMN
DTXSID0020737,62.29,3,qsar,ECOSAR_BASELINE,fish,NA,1,ECOSAR_BASELINE
DTXSID0020737,6.024e-5,3,qsar,BOL,fish,NA,1,BOL
DTXSID00207577,1.974,2,qsar,IRFMN,algae,NA,1,IRFMN
DTXSID00207577,40.63,2,qsar,ECOSAR_BASELINE,algae,NA,1,ECOSAR_BASELINE
DTXSID00207577,0.04375,3,qsar,VAN_LEEUWEN,algae,NA,1,VAN_LEEUWEN
DTXSID00207577,3.723,2,qsar,IRFMN,crustacean,NA,1,IRFMN
DTXSID00207577,42.72,2,qsar,ECOSAR_BASELINE,crustacean,NA,1,ECOSAR_BASELINE
DTXSID00207577,6.5e-5,3,qsar,BOL,crustacean,NA,1,BOL
DTXSID00207577,4.737,2,qsar,IRFMN,fish,NA,1,IRFMN
DTXSID00207577,70.92,2,qsar,ECOSAR_BASELINE,fish,NA,1,ECOSAR_BASELINE
DTXSID00207577,7.193e-5,3,qsar,BOL,fish,NA,1,BOL
DTXSID0020810,17.63,3,qsar,IRFMN,algae,NA,1,IRFMN
DTXSID0020810,793.5,3,qsar,ECOSAR_BASELINE,algae,NA,1,ECOSAR_BASELINE
DTXSID0020810,4.486,3,qsar,VAN_LEEUWEN,algae,NA,1,VAN_LEEUWEN
DTXSID0020810,54.5,3,geomean,ecotox,crustacean,NA,1,ecotox
DTXSID0020810,54.5,3,quantile,ecotox,crustacean,NA,1,ecotox
DTXSID0020810,6.636,3,qsar,IRFMN,crustacean,NA,1,IRFMN
DTXSID0020810,2038,3,qsar,ECOSAR_BASELINE,crustacean,NA,1,ECOSAR_BASELINE
DTXSID0020810,0.005092,3,qsar,BOL,crustacean,NA,1,BOL
DTXSID0020810,22.31,3,qsar,IRFMN,fish,NA,1,IRFMN
DTXSID0020810,4200,3,qsar,ECOSAR_BASELINE,fish,NA,1,ECOSAR_BASELINE
DTXSID0020810,0.003288,3,qsar,BOL,fish,NA,1,BOL
DTXSID0020814,0.125,3,qsar,IRFMN,algae,NA,1,IRFMN
DTXSID0020814,4.448,2,qsar,ECOSAR_BASELINE,algae,NA,1,ECOSAR_BASELINE
DTXSID0020814,0.001827,3,qsar,VAN_LEEUWEN,algae,NA,1,VAN_LEEUWEN
DTXSID0020814,3.031,2,qsar,IRFMN,crustacean,NA,1,IRFMN
DTXSID0020814,2.782,2,qsar,ECOSAR_BASELINE,crustacean,NA,1,ECOSAR_BASELINE
DTXSID0020814,3.174e-6,3,qsar,BOL,crustacean,NA,1,BOL
DTXSID0020814,0.953,3,qsar,IRFMN,fish,NA,1,IRFMN
DTXSID0020814,4.074,2,qsar,ECOSAR_BASELINE,fish,NA,1,ECOSAR_BASELINE
DTXSID0020814,4.804e-6,3,qsar,BOL,fish,NA,1,BOL
DTXSID0020868,207.5,3,geomean,ecotox,algae,NA,1,ecotox
DTXSID0020868,21.85,3,quantile,ecotox,algae,NA,1,ecotox
DTXSID0020868,9.734,3,qsar,IRFMN,algae,NA,1,IRFMN
DTXSID0020868,132.6,3,qsar,ECOSAR_BASELINE,algae,NA,1,ECOSAR_BASELINE
DTXSID0020868,0.4406,3,qsar,VAN_LEEUWEN,algae,NA,1,VAN_LEEUWEN
DTXSID0020868,426.9,3,geomean,ecotox,crustacean,NA,1,ecotox
DTXSID0020868,127.6,3,quantile,ecotox,crustacean,NA,1,ecotox
DTXSID0020868,13,3,qsar,IRFMN,crustacean,NA,1,IRFMN
DTXSID0020868,255.8,3,qsar,ECOSAR_BASELINE,crustacean,NA,1,ECOSAR_BASELINE
DTXSID0020868,5.452e-4,3,qsar,BOL,crustacean,NA,1,BOL
DTXSID0020868,239.2,3,geomean,ecotox,fish,NA,1,ecotox
DTXSID0020868,36.71,3,quantile,ecotox,fish,NA,1,ecotox
DTXSID0020868,11.02,3,qsar,IRFMN,fish,NA,1,IRFMN
DTXSID0020868,491.9,3,qsar,ECOSAR_BASELINE,fish,NA,1,ECOSAR_BASELINE
DTXSID0020868,4.183e-4,3,qsar,BOL,fish,NA,1,BOL
DTXSID00209516,2.011,3,qsar,IRFMN,algae,NA,1,IRFMN
DTXSID00209516,62.18,3,qsar,ECOSAR_BASELINE,algae,NA,1,ECOSAR_BASELINE
DTXSID00209516,0.1107,3,qsar,VAN_LEEUWEN,algae,NA,1,VAN_LEEUWEN
DTXSID00209516,22.61,3,qsar,IRFMN,crustacean,NA,1,IRFMN
DTXSID00209516,85.73,3,qsar,ECOSAR_BASELINE,crustacean,NA,1,ECOSAR_BASELINE
DTXSID00209516,1.516e-4,3,qsar,BOL,crustacean,NA,1,BOL
DTXSID00209516,7.486,3,qsar,IRFMN,fish,NA,1,IRFMN
DTXSID00209516,152,3,qsar,ECOSAR_BASELINE,fish,NA,1,ECOSAR_BASELINE
DTXSID00209516,1.425e-4,3,qsar,BOL,fish,NA,1,BOL
DTXSID0021096,1.1,3,qsar,IRFMN,algae,NA,1,IRFMN
DTXSID0021096,26.92,3,qsar,ECOSAR_BASELINE,algae,NA,1,ECOSAR_BASELINE
DTXSID0021096,0.02701,3,qsar,VAN_LEEUWEN,algae,NA,1,VAN_LEEUWEN
DTXSID0021096,4.693,3,qsar,IRFMN,crustacean,NA,1,IRFMN
DTXSID0021096,27.25,3,qsar,ECOSAR_BASELINE,crustacean,NA,1,ECOSAR_BASELINE
DTXSID0021096,4.059e-5,3,qsar,BOL,crustacean,NA,1,BOL
DTXSID0021096,2.41,3,qsar,IRFMN,fish,NA,1,IRFMN
DTXSID0021096,44.82,3,qsar,ECOSAR_BASELINE,fish,NA,1,ECOSAR_BASELINE
DTXSID0021096,4.597e-5,3,qsar,BOL,fish,NA,1,BOL
DTXSID00210965,0.7206,3,qsar,IRFMN,algae,NA,1,IRFMN
DTXSID00210965,0.2102,3,qsar,ECOSAR_BASELINE,algae,NA,1,ECOSAR_BASELINE
DTXSID00210965,2.092e-5,3,qsar,VAN_LEEUWEN,algae,NA,1,VAN_LEEUWEN
DTXSID00210965,0.7771,3,qsar,IRFMN,crustacean,NA,1,IRFMN
DTXSID00210965,0.06127,3,qsar,ECOSAR_BASELINE,crustacean,NA,1,ECOSAR_BASELINE
DTXSID00210965,4.576e-8,3,qsar,BOL,crustacean,NA,1,BOL
DTXSID00210965,0.7716,3,qsar,IRFMN,fish,NA,1,IRFMN
DTXSID00210965,0.07459,3,qsar,ECOSAR_BASELINE,fish,NA,1,ECOSAR_BASELINE
DTXSID00210965,1.098e-7,3,qsar,BOL,fish,NA,1,BOL
DTXSID0021125,41.33,3,geomean,ecotox,algae,NA,0.98,ecotox
DTXSID0021125,18.36,3,quantile,ecotox,algae,NA,0.98,ecotox
DTXSID0021125,0.6297,3,qsar,IRFMN,algae,NA,0.98,IRFMN
DTXSID0021125,17.79,3,qsar,ECOSAR_BASELINE,algae,NA,0.98,ECOSAR_BASELINE
DTXSID0021125,0.01334,3,qsar,VAN_LEEUWEN,algae,NA,0.98,VAN_LEEUWEN
DTXSID0021125,6.957,3,geomean,ecotox,crustacean,NA,0.98,ecotox
DTXSID0021125,6.72,3,quantile,ecotox,crustacean,NA,0.98,ecotox
DTXSID0021125,9.447,3,qsar,IRFMN,crustacean,NA,0.98,IRFMN
DTXSID0021125,15.4,3,qsar,ECOSAR_BASELINE,crustacean,NA,0.98,ECOSAR_BASELINE
DTXSID0021125,2.103e-5,3,qsar,BOL,crustacean,NA,0.98,BOL
DTXSID0021125,1.399,3,qsar,IRFMN,fish,NA,0.98,IRFMN
DTXSID0021125,24.38,3,qsar,ECOSAR_BASELINE,fish,NA,0.98,ECOSAR_BASELINE
DTXSID0021125,2.617e-5,3,qsar,BOL,fish,NA,0.98,BOL
DTXSID0021179,5.552,3,qsar,IRFMN,algae,NA,0.01,IRFMN
DTXSID0021179,336.3,3,qsar,ECOSAR_BASELINE,algae,NA,0.01,ECOSAR_BASELINE
DTXSID0021179,1.012,3,qsar,VAN_LEEUWEN,algae,NA,0.01,VAN_LEEUWEN
DTXSID0021179,367.4,3,qsar,IRFMN,crustacean,NA,0.01,IRFMN
DTXSID0021179,615.1,3,qsar,ECOSAR_BASELINE,crustacean,NA,0.01,ECOSAR_BASELINE
DTXSID0021179,0.001272,3,qsar,BOL,crustacean,NA,0.01,BOL
DTXSID0021179,4.412,3,qsar,IRFMN,fish,NA,0.01,IRFMN
DTXSID0021179,1167,3,qsar,ECOSAR_BASELINE,fish,NA,0.01,ECOSAR_BASELINE
DTXSID0021179,0.001008,3,qsar,BOL,fish,NA,0.01,BOL
DTXSID0021256,2.794,3,qsar,IRFMN,algae,NA,0.001,IRFMN
DTXSID0021256,12.27,2,qsar,ECOSAR_BASELINE,algae,NA,0.001,ECOSAR_BASELINE
DTXSID0021256,0.007079,3,qsar,VAN_LEEUWEN,algae,NA,0.001,VAN_LEEUWEN
DTXSID0021256,1.738,3,qsar,IRFMN,crustacean,NA,0.001,IRFMN
DTXSID0021256,9.217,2,qsar,ECOSAR_BASELINE,crustacean,NA,0.001,ECOSAR_BASELINE
DTXSID0021256,1.164e-5,3,qsar,BOL,crustacean,NA,0.001,BOL
